psc;nazev;pocet volicu;vydane obalky;platne hlasy;ANO 2011;Blok proti islam.-Obran.domova;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Dobrá volba 2016;Dělnic.str.sociální spravedl.;Komunistická str.Čech a Moravy;Křesť.demokr.unie-Čs.str.lid.;Občanská demokratická aliance;Občanská demokratická strana;REALISTÉ;ROZUMNÍ-stop migraci,diktát.EU;Radostné Česko;Referendum o Evropské unii;SPORTOVCI;SPR-Republ.str.Čsl. M.Sládka;STAROSTOVÉ A NEZÁVISLÍ;Strana Práv Občanů;Strana svobodných občanů;Strana zelených;Svob.a př.dem.-T.Okamura (SPD);TOP 09;Unie H.A.V.E.L.;Česká pirátská strana;Česká str.sociálně demokrat.;Česká strana národně sociální;Řád národa - Vlastenecká unie
531367;Adamov;102;74;72;21;0;0;0;0;14;2;0;5;0;2;0;0;0;0;8;0;0;0;4;0;0;7;9;0;0
531111;Bernardov;157;89;89;30;0;0;0;1;14;1;0;5;1;1;0;0;0;2;7;2;1;0;11;0;1;11;1;0;0
533971;Bílé Podolí;502;299;299;136;0;0;0;2;24;3;0;18;0;5;0;0;1;1;30;0;2;1;30;4;0;11;30;0;1
530964;Bludov;28;23;23;5;0;0;0;0;1;1;0;5;0;0;0;0;0;0;2;0;0;0;2;0;0;4;3;0;0
533980;Bohdaneč;337;214;214;105;0;0;0;0;17;6;0;12;0;1;0;0;0;0;11;2;0;0;22;7;0;15;16;0;0
530832;Brambory;97;63;62;36;0;0;0;0;4;0;0;10;3;0;0;0;0;0;3;0;0;0;2;0;0;1;3;0;0
531286;Bratčice;332;224;222;82;0;1;0;0;11;13;0;20;1;1;0;0;0;3;18;1;2;1;17;7;0;23;21;0;0
533998;Církvice;1008;650;642;176;0;1;0;1;59;18;0;59;2;3;0;1;2;0;81;0;4;0;77;13;0;55;87;0;3
534005;Čáslav;8029;4866;4833;1415;4;5;1;12;403;171;9;429;28;29;2;2;7;11;352;11;53;43;410;197;3;499;718;3;16
529524;Čejkovice;34;29;29;8;0;0;0;0;2;4;0;1;0;0;0;0;0;1;4;0;0;0;7;1;0;0;1;0;0
534013;Černíny;331;226;225;69;1;0;0;0;40;9;0;18;5;2;0;0;0;1;28;1;2;2;18;3;0;13;13;0;0
534021;Červené Janovice;558;355;347;90;0;0;0;1;43;19;1;33;0;2;0;0;2;0;35;1;1;1;34;4;0;28;51;0;1
534030;Čestín;387;242;239;92;0;0;0;0;15;2;0;25;1;1;0;0;1;0;30;0;1;1;30;9;0;18;13;0;0
529559;Dobrovítov;98;67;67;19;0;0;0;0;5;1;0;2;0;4;0;0;3;0;10;0;0;1;5;2;0;6;9;0;0
531260;Dolní Pohleď;75;46;45;8;0;0;0;0;9;6;0;3;1;0;0;0;0;0;2;0;0;0;6;0;0;6;4;0;0
531341;Drobovice;328;219;218;91;0;0;0;0;28;3;0;7;2;4;0;0;0;0;13;2;0;4;11;2;0;20;30;0;1
531197;Hlízov;450;309;307;78;0;2;0;0;18;12;0;34;4;0;0;0;0;0;52;1;5;1;34;8;0;35;22;0;1
531430;Horka I;327;207;206;78;0;0;0;0;19;6;0;29;1;2;0;1;0;0;20;1;2;2;22;5;0;8;9;1;0
534056;Horka II;346;216;216;64;0;0;0;1;19;3;1;15;0;1;0;0;0;1;24;0;4;5;33;4;0;20;21;0;0
531359;Horky;319;185;183;53;0;0;0;0;18;6;0;29;0;1;0;0;0;2;9;1;4;1;8;8;1;16;26;0;0
531481;Horušice;152;91;90;43;0;0;0;0;6;1;0;8;0;2;0;0;0;0;7;0;1;0;5;2;0;3;12;0;0
534064;Hostovlice;200;121;118;40;1;0;0;2;14;5;0;12;0;4;0;0;0;0;7;0;1;0;12;0;0;4;14;0;2
531413;Hraběšín;102;66;66;32;0;0;0;0;10;1;0;4;0;0;0;0;0;0;5;0;1;0;3;0;0;7;3;0;0
534081;Chabeřice;216;137;137;54;0;0;0;0;9;4;0;16;1;1;0;0;0;0;13;0;0;0;15;5;0;13;6;0;0
534099;Chlístovice;607;369;368;110;1;0;1;1;79;8;0;21;1;3;0;0;1;0;43;0;3;1;26;5;0;41;19;0;4
534102;Chotusice;564;353;351;138;0;0;0;1;28;12;0;17;1;2;0;0;0;2;23;0;6;4;28;12;0;43;33;0;1
534129;Kácov;659;427;424;117;0;0;0;0;19;21;0;50;0;2;0;0;4;1;42;1;2;2;44;19;0;39;58;0;3
534137;Kluky;392;254;254;104;0;0;0;0;16;3;0;23;1;3;0;0;3;0;22;0;0;1;17;4;0;31;26;0;0
531405;Kobylnice;153;88;86;22;0;0;0;0;12;1;0;9;0;1;0;0;0;0;9;0;2;0;12;2;0;10;6;0;0
551465;Košice;42;28;27;3;0;0;0;0;1;3;0;1;0;0;0;0;0;0;5;0;1;0;6;4;0;2;1;0;0
534153;Krchleby;319;183;183;62;0;0;0;1;17;3;2;8;1;1;0;0;0;0;15;2;1;3;21;10;1;14;21;0;0
534161;Křesetice;528;300;298;106;4;0;0;1;21;17;0;34;1;3;0;0;0;0;17;0;2;1;22;7;0;34;27;0;1
533955;Kutná Hora;16219;9916;9862;2784;13;7;3;6;754;461;10;1068;55;74;4;8;16;22;1117;17;142;94;891;518;5;1006;743;3;41
534170;Ledečko;149;105;102;37;0;0;0;0;3;2;0;8;1;0;0;0;2;0;16;1;0;2;10;0;0;11;8;0;1
534188;Malešov;815;529;525;156;0;1;0;1;57;12;0;61;2;2;0;0;0;4;55;1;5;3;50;20;0;51;41;0;3
534200;Miskovice;832;545;541;152;3;2;1;2;39;19;0;63;3;5;0;0;0;2;88;0;3;4;43;15;0;70;26;0;1
530999;Močovice;318;193;192;61;0;0;0;0;13;11;0;15;1;0;0;1;0;0;17;0;1;1;22;7;0;21;18;0;3
534226;Nepoměřice;165;110;108;33;0;0;0;0;7;0;0;9;0;2;0;1;2;0;14;0;0;1;12;0;0;9;18;0;0
534242;Nové Dvory;692;407;405;115;0;0;0;0;44;13;0;48;0;3;0;0;0;2;53;3;1;2;42;17;0;39;23;0;0
534251;Okřesaneč;159;105;105;38;0;0;0;0;26;2;0;4;1;1;0;0;1;0;4;0;1;1;3;1;0;11;11;0;0
534277;Onomyšl;253;179;176;80;0;0;0;0;9;5;0;9;1;3;0;0;0;0;15;0;2;2;19;3;0;13;14;0;1
530956;Opatovice I;116;81;80;19;0;0;0;0;0;2;0;13;0;0;0;0;0;0;15;0;1;0;5;4;0;5;16;0;0
531278;Paběnice;164;107;106;18;0;0;0;1;13;4;0;13;0;1;2;0;0;0;13;0;0;0;3;4;0;10;23;0;1
534307;Pertoltice;148;94;94;26;0;1;1;1;24;1;0;5;0;1;0;0;0;1;11;0;0;0;8;0;0;3;11;0;0
534315;Petrovice I;237;133;132;36;0;0;0;0;10;6;0;11;0;2;0;0;0;0;7;1;1;0;17;8;3;9;21;0;0
534323;Petrovice II;104;61;60;15;0;0;0;0;10;1;0;6;0;0;0;0;0;0;6;0;0;0;8;2;0;5;7;0;0
528196;Podveky;166;105;105;37;0;0;0;0;12;7;0;13;0;0;0;0;0;0;6;0;0;0;8;7;0;4;11;0;0
534331;Potěhy;499;320;318;112;0;0;1;0;30;6;0;18;0;2;0;0;1;0;14;3;2;4;39;5;0;26;54;0;1
534340;Rašovice;312;176;176;63;0;0;0;1;12;5;0;15;1;0;0;0;0;0;20;0;1;0;27;4;0;17;10;0;0
534358;Rataje nad Sázavou;478;286;286;90;0;0;0;2;30;13;0;23;1;3;0;0;0;0;31;0;0;5;20;11;0;31;23;0;3
526622;Rohozec;246;163;162;64;0;0;0;0;17;2;0;13;0;3;0;0;0;0;20;0;5;0;9;7;0;15;7;0;0
534366;Řendějov;202;130;129;42;0;0;0;0;18;3;0;8;0;1;0;0;0;2;10;0;0;1;19;5;0;10;9;0;1
534374;Samopše;141;98;98;36;0;0;0;1;9;0;0;6;0;0;0;0;0;0;9;1;0;1;5;1;0;13;10;0;6
530859;Semtěš;223;156;155;50;0;0;0;1;14;4;0;9;0;4;0;0;1;0;14;0;2;0;11;10;0;13;21;0;1
531383;Schořov;70;46;46;9;0;0;0;0;8;0;0;4;1;0;0;0;0;0;4;1;0;3;6;0;0;5;4;0;1
534391;Slavošov;129;78;77;28;0;0;0;0;11;1;0;5;2;0;0;0;0;0;3;0;1;1;5;1;0;6;13;0;0
534293;Soběšín;145;99;99;52;0;0;0;0;8;0;0;9;0;0;0;0;0;0;5;0;0;0;5;1;0;10;7;0;2
531065;Souňov;112;84;84;21;0;0;0;0;1;4;0;3;0;0;0;1;0;0;2;0;0;0;13;1;0;7;31;0;0
534412;Staňkovice;221;155;153;57;0;0;0;0;10;3;2;14;0;1;0;0;1;1;16;0;2;1;10;7;1;9;18;0;0
530875;Starkoč;130;91;90;20;0;0;0;0;10;1;0;1;0;0;0;0;0;0;33;1;0;0;10;2;0;8;4;0;0
531391;Sudějov;64;45;45;12;0;0;0;0;4;1;0;1;0;0;0;0;0;0;9;0;1;1;6;1;0;7;2;0;0
534439;Suchdol;949;624;623;198;0;0;0;1;49;7;0;98;3;3;1;0;1;0;70;3;1;7;60;14;0;56;49;0;2
534196;Svatý Mikuláš;697;444;442;147;0;0;0;1;75;4;2;36;1;6;1;0;0;2;39;3;6;3;49;15;0;22;23;0;7
531421;Šebestěnice;82;59;59;18;0;0;0;0;3;4;0;4;0;0;0;0;1;0;9;0;0;0;9;3;0;1;7;0;0
530930;Štipoklasy;118;75;75;23;0;0;0;0;3;4;0;6;0;1;0;0;1;0;5;0;1;0;13;0;0;5;13;0;0
530981;Třebešice;202;95;93;36;0;0;0;1;13;1;0;0;0;0;0;0;0;0;11;0;0;3;6;0;0;14;8;0;0
530972;Třebětín;92;53;53;22;0;0;0;0;4;3;0;8;0;1;0;0;0;0;2;1;0;1;4;0;0;2;5;0;0
571741;Třebonín;122;78;78;27;0;0;0;0;3;10;0;7;0;1;0;0;0;0;4;0;0;1;3;1;0;11;10;0;0
534480;Tupadly;508;311;310;121;0;0;0;0;29;2;0;20;0;1;0;1;2;1;41;0;7;1;33;12;0;15;24;0;0
534498;Uhlířské Janovice;2505;1500;1494;501;9;3;1;0;105;42;3;123;8;12;0;1;9;2;193;4;12;13;146;30;0;129;142;0;6
534501;Úmonín;403;246;243;98;1;1;0;0;14;19;0;19;3;1;0;2;0;0;23;2;1;1;16;4;0;18;20;0;0
534510;Úžice;532;350;348;112;0;0;1;0;30;8;1;23;0;7;1;0;0;1;17;1;4;2;47;7;0;56;29;0;1
534528;Vavřinec;421;265;264;102;2;0;0;0;27;7;0;26;0;1;0;0;0;0;24;0;2;1;31;10;0;13;14;0;4
534536;Vidice;187;114;113;30;0;0;0;0;14;5;0;17;0;1;0;0;0;0;5;0;4;1;8;3;0;20;5;0;0
534544;Vinaře;211;117;117;51;0;0;0;0;16;2;0;5;0;1;0;0;1;0;7;1;3;2;11;4;0;5;8;0;0
534552;Vlačice;204;118;118;39;0;1;0;1;17;6;0;7;0;0;0;0;0;2;7;0;0;0;14;3;0;11;10;0;0
534561;Vlastějovice;383;215;211;61;0;0;0;0;11;9;0;33;0;4;0;0;0;0;15;0;0;2;13;4;0;27;32;0;0
534579;Vlkaneč;520;345;345;121;0;0;0;0;30;24;0;26;1;1;0;0;0;2;24;2;2;6;30;15;0;23;38;0;0
531014;Vodranty;72;51;51;15;0;0;0;0;7;1;0;0;0;0;0;0;0;0;4;1;0;1;6;2;0;4;10;0;0
534587;Vrdy;2347;1362;1360;491;2;1;3;2;147;16;1;109;7;9;1;0;0;0;119;8;10;7;149;33;0;115;127;0;3
534595;Záboří nad Labem;674;430;429;134;0;0;0;0;52;11;0;26;1;6;0;0;2;1;79;0;8;1;36;11;1;26;34;0;0
534609;Zbizuby;373;233;233;76;0;0;1;0;20;11;0;20;1;1;1;0;0;0;21;0;1;0;38;3;0;13;26;0;0
534617;Zbraslavice;1130;679;674;229;0;0;0;0;63;18;4;79;0;1;1;3;0;0;60;2;10;2;60;31;1;54;55;1;0
534625;Zbýšov;536;332;330;110;0;0;0;0;38;10;0;22;0;3;0;0;2;3;27;0;2;3;33;6;0;27;41;0;3
534633;Zruč nad Sázavou;3865;2216;2195;763;4;0;1;8;177;58;2;182;13;23;4;1;2;5;210;6;17;27;183;66;0;234;204;0;5
534641;Žáky;289;167;167;63;0;0;0;0;18;5;0;13;0;10;2;0;0;0;11;0;3;0;8;4;0;7;23;0;0
534650;Žehušice;613;367;365;135;1;0;0;0;21;13;0;36;3;3;1;0;0;2;35;1;9;5;34;7;0;33;26;0;0
534668;Žleby;1091;585;584;216;0;1;1;1;56;9;0;59;0;3;0;0;0;2;38;1;5;4;88;8;1;39;52;0;0
